Kigezruk Creek|stream|SRID=4269;POINT(-167.74056 65.50889)
Pinta Cove|bay|SRID=4269;POINT(-135.76444 58.26778)
Pinta Rock|bar|SRID=4269;POINT(-135.45306 58.165)
Pinta Rocks Light|building|SRID=4269;POINT(-134.0075 57.08556)
Pinto Creek|stream|SRID=4269;POINT(-149.37722 63.81194)
Pinusuk Island|island|SRID=4269;POINT(-159.07306 55.86306)
Pioneer Creek|stream|SRID=4269;POINT(-150.20694 65.17778)
Pioneer Creek|stream|SRID=4269;POINT(-159.37167 60.97222)
Pioneer Gulch|valley|SRID=4269;POINT(-150.82639 62.53556)
Pioneer Gulch|valley|SRID=4269;POINT(-165.41083 64.69694)
Pioneer Peak|summit|SRID=4269;POINT(-149.03306 61.47556)
Pioneer Ridge|ridge|SRID=4269;POINT(-150.95528 63.15111)
Pippin Lake|lake|SRID=4269;POINT(-145.17016 61.70902)
Pipsuk Point|cape|SRID=4269;POINT(-143.59417 70.13)
Pirate Creek|stream|SRID=4269;POINT(-165.30194 65.63667)
Pirate Creek|stream|SRID=4269;POINT(-150.53583 63.35)
Pisiksagiavik Creek|stream|SRID=4269;POINT(-157.15472 70.09556)
Pistuk Peak|summit|SRID=4269;POINT(-159.7025 59.72667)
Pitchuk Lake|lake|SRID=4269;POINT(-151.78965 66.93161)
Pitka Fork Hodzana River|stream|SRID=4269;POINT(-148.47361 66.68833)
Pitka Fork Middle Fork Kuskokwim River|stream|SRID=4269;POINT(-154.74861 62.93667)
Pitka Lake|lake|SRID=4269;POINT(-147.50481 66.37795)
Pitka River|stream|SRID=4269;POINT(-157.76944 65.48167)
Pitkas Bar|bar|SRID=4269;POINT(-144.73639 65.34)
Pitkas Point|cape|SRID=4269;POINT(-163.24056 62.02972)
Pitkas Point|populated place|SRID=4269;POINT(-163.28778 62.03278)
Pitmegea River|stream|SRID=4269;POINT(-164.62556 68.91472)
Pitt Island|island|SRID=4269;POINT(-135.45194 58.10889)
Pitt Point|cape|SRID=4269;POINT(-153.13361 70.92417)
Pittalukruak Lake|lake|SRID=4269;POINT(-155.37054 70.82612)
Pittman|locale|SRID=4269;POINT(-149.64972 61.58472)
Pittock Pass|gap|SRID=4269;POINT(-150.75306 62.94861)
Pittsburgh Creek|stream|SRID=4269;POINT(-142.72972 64.44417)
Pivot Point|cape|SRID=4269;POINT(-153.01222 57.30056)
Piyukenuk River|stream|SRID=4269;POINT(-165.08389 61.63139)
Placer Creek|stream|SRID=4269;POINT(-147.38806 62.07111)
Placer Creek|stream|SRID=4269;POINT(-141.99917 64.975)
Placer Creek|stream|SRID=4269;POINT(-142.17083 65.06722)
Placerville|locale|SRID=4269;POINT(-155.75306 64.03389)
Planaria Lake|lake|SRID=4269;POINT(-146.84592 62.02267)
Ptarmigan Creek|stream|SRID=4269;POINT(-148.5625 63.98972)
Plateau Lake|lake|SRID=4269;POINT(-144.43237 63.62334)
Plateau Mountain|summit|SRID=4269;POINT(-153.49861 67.80611)
Platinum|populated place|SRID=4269;POINT(-161.81639 59.01306)
Platinum Creek|stream|SRID=4269;POINT(-161.72583 58.895)
Platinum Creek|stream|SRID=4269;POINT(-142.75361 62.42833)
Platt Creek|stream|SRID=4269;POINT(-148.55806 63.9825)
Pleasant Creek|stream|SRID=4269;POINT(-141.06778 65.11111)
Pleasant Island|island|SRID=4269;POINT(-135.64806 58.35556)
Pleasant Island Reef|bar|SRID=4269;POINT(-135.65194 58.30917)
Plenty Bear Creek|stream|SRID=4269;POINT(-158.42528 56.70472)
Plover Point|cape|SRID=4269;POINT(-156.3632 71.3609)
Plumb Bob Lake|lake|SRID=4269;POINT(-145.94691 62.10276)
Mount Plummer|summit|SRID=4269;POINT(-159.69472 60.97222)
Plunge Creek|stream|SRID=4269;POINT(-161.38917 68.89056)
Pocahontas Creek|stream|SRID=4269;POINT(-154.35694 65.91389)
Pocahontas Hot Springs|spring|SRID=4269;POINT(-154.03222 65.97028)
Pocket Creek|stream|SRID=4269;POINT(-143.33111 61.07111)
Pogik Bay|bay|SRID=4269;POINT(-152.84972 70.87583)
Pogik Point|cape|SRID=4269;POINT(-152.8925 70.91028)
Pogopuk Creek|stream|SRID=4269;POINT(-146.50611 69.37889)
Point Adolphus|cape|SRID=4269;POINT(-135.78167 58.28583)
Point Augusta|cape|SRID=4269;POINT(-134.95139 58.03972)
Point Banks|cape|SRID=4269;POINT(-152.31556 58.63306)
Point Barrow|cape|SRID=4269;POINT(-156.48111 71.3875)
Point Belcher|cape|SRID=4269;POINT(-159.65139 70.79278)
Point Brower|cape|SRID=4269;POINT(-147.80083 70.29361)
Point Campbell|cape|SRID=4269;POINT(-150.07222 61.15611)
Point Campbell|locale|SRID=4269;POINT(-150.01 61.17417)
Point Collie|cape|SRID=4269;POINT(-160.105 70.61167)
Point Couverden|cape|SRID=4269;POINT(-135.05556 58.19056)
Point Dexter|cape|SRID=4269;POINT(-161.36972 64.53306)
Point Doran|cape|SRID=4269;POINT(-148.16361 61.07056)
Point Dundas|cape|SRID=4269;POINT(-136.28167 58.31611)
Point Dyer|cape|SRID=4269;POINT(-165.73556 61.84139)
Point Franklin|cape|SRID=4269;POINT(-158.80861 70.90778)
Point Glorious|summit|SRID=4269;POINT(-140.38056 60.1675)
Point Gordon|cape|SRID=4269;POINT(-146.62556 70.18528)
Point Gustavus|cape|SRID=4269;POINT(-135.91278 58.3825)
Point Hilda|cape|SRID=4269;POINT(-134.505 58.21833)
Point Hope|cape|SRID=4269;POINT(-166.83333 68.34083)
Point Hope|populated place|SRID=4269;POINT(-166.73472 68.34861)
Point Hopson|cape|SRID=4269;POINT(-146.51472 70.19)
Point Howard|cape|SRID=4269;POINT(-135.055 58.29194)
Point Jackson|cape|SRID=4269;POINT(-166.61611 65.32806)
Point Lavinia|cape|SRID=4269;POINT(-136.35222 58.2225)
Point Lay|populated place|SRID=4269;POINT(-163.00844 69.74386)
Point Lena|cape|SRID=4269;POINT(-134.77528 58.39528)
Point Louisa|cape|SRID=4269;POINT(-134.72639 58.375)
Point Lowe|cape|SRID=4269;POINT(-146.765 61.04417)
Point Marsden|cape|SRID=4269;POINT(-134.80778 58.05694)
Point Marsh|cape|SRID=4269;POINT(-160.11944 70.60583)
Point McIntyre|cape|SRID=4269;POINT(-148.5875 70.39722)
Point McKenzie|cape|SRID=4269;POINT(-149.98417 61.23861)
Point No-Point|cape|SRID=4269;POINT(-150.02806 65.67222)
Pakenham Point|cape|SRID=4269;POINT(-148.06611 61.00528)
Point Poleakoon|cape|SRID=4269;POINT(-154.02361 70.81194)
Point Retreat|cape|SRID=4269;POINT(-134.95278 58.41111)
Point Riou|cape|SRID=4269;POINT(-141.4525 59.87861)
Point Romanof|cape|SRID=4269;POINT(-162.82861 63.20278)
Point Salisbury|cape|SRID=4269;POINT(-134.21722 58.205)
Point Smith|cape|SRID=4269;POINT(-165.9175 61.82889)
Point Sophia|cape|SRID=4269;POINT(-135.41694 58.1425)
Point Spencer|cape|SRID=4269;POINT(-166.84778 65.2775)
Point Stephens|cape|SRID=4269;POINT(-134.76611 58.41917)
Point Storkersen|cape|SRID=4269;POINT(-148.71944 70.41194)
Point Storkersen Camp|locale|SRID=4269;POINT(-148.69944 70.40389)
Point Styleman|cape|SRID=4269;POINT(-133.89833 57.975)
Point Sweeney|cape|SRID=4269;POINT(-146.43 70.18556)
Point Thomson|cape|SRID=4269;POINT(-146.32472 70.18583)
Point Villaluenga|cape|SRID=4269;POINT(-136.68306 58.21361)
Point Wimbledon|cape|SRID=4269;POINT(-136.37639 58.30028)
Point Woronzof|cape|SRID=4269;POINT(-150.01278 61.205)
Point Young|cape|SRID=4269;POINT(-134.55639 58.19417)
Lake Point|lake|SRID=4269;POINT(-157.79389 58.69861)
Poison Creek|stream|SRID=4269;POINT(-158.95472 63.99)
Pokati Point|cape|SRID=4269;POINT(-152.85306 57.93)
Poker Creek|stream|SRID=4269;POINT(-160.93306 63.63694)
Poker Creek|stream|SRID=4269;POINT(-148.98333 63.89333)
Poker Creek|stream|SRID=4269;POINT(-141.04917 64.05833)
Poker Creek|stream|SRID=4269;POINT(-147.48083 65.13611)
Poker Flat|flat|SRID=4269;POINT(-147.44722 65.13667)
Poko Mountain|summit|SRID=4269;POINT(-162.38278 68.80944)
Pokok Bay|bay|SRID=4269;POINT(-142.55 69.96944)
Pokok Creek|stream|SRID=4269;POINT(-142.7625 70.04083)
Pokok Lagoon|bay|SRID=4269;POINT(-142.76889 70.04333)
Poktovik Creek|stream|SRID=4269;POINT(-161.24167 68.00583)
Poktovik Mountains|range|SRID=4269;POINT(-161.14222 68.06556)
Polar Bear Creek|stream|SRID=4269;POINT(-160.00917 60.20083)
Polar Creek|stream|SRID=4269;POINT(-146.46333 65.34556)
Pole Island|island|SRID=4269;POINT(-147.01417 70.305)
Polka Peninsula|cape|SRID=4269;POINT(-136.705 58.23028)
Polka Rock|bar|SRID=4269;POINT(-136.72111 58.22861)
Pollard Gulch|valley|SRID=4269;POINT(-142.39944 61.33444)
Polly Creek|stream|SRID=4269;POINT(-156.97806 60.48472)
Polly Creek|stream|SRID=4269;POINT(-141.43694 64.3075)
Poltava Island|island|SRID=4269;POINT(-156.47333 57.0075)
Poltes Slough|stream|SRID=4269;POINT(-162.43083 61.96306)
Polychrome Glacier|glacier|SRID=4269;POINT(-149.84485 63.45569)
Polychrome Mountain|summit|SRID=4269;POINT(-149.96111 63.53639)
Polychrome Pass|gap|SRID=4269;POINT(-149.93444 63.515)
Pond Creek|stream|SRID=4269;POINT(-165.69056 68.17611)
Pond Creek|stream|SRID=4269;POINT(-165.73639 65.06417)
Ponglevik River|stream|SRID=4269;POINT(-164.59972 62.27167)
Ponluktule Creek|stream|SRID=4269;POINT(-161.01694 63.61306)
Pontag Creek|stream|SRID=4269;POINT(-153.65861 63.46528)
Pony Point|cape|SRID=4269;POINT(-152.25528 57.61833)
Pool Creek|stream|SRID=4269;POINT(-146.32889 65.28028)
Poorman|populated place|SRID=4269;POINT(-155.54389 64.09944)
Poorman Creek|stream|SRID=4269;POINT(-141.8875 62.12056)
Poorman Creek|stream|SRID=4269;POINT(-150.79083 62.56389)
Poorman Creek|stream|SRID=4269;POINT(-147.28472 62.00722)
Poovookpuk Mountain|summit|SRID=4269;POINT(-171.56278 63.43944)
Poovoot Range|range|SRID=4269;POINT(-171.51861 63.45944)
Pope Creek|stream|SRID=4269;POINT(-151.13222 67.01944)
Pope Creek Dome|summit|SRID=4269;POINT(-151.09194 66.92694)
Popof Island|island|SRID=4269;POINT(-152.40167 57.76722)
Popof Island|island|SRID=4269;POINT(-160.37472 55.31361)
Kemuk Mountain|summit|SRID=4269;POINT(-158.00583 59.68833)
Pike Creek|stream|SRID=4269;POINT(-156.44639 59.91917)
Stuyahok River|stream|SRID=4269;POINT(-156.69583 59.83389)
Popokamiut|locale|SRID=4269;POINT(-162.46278 60.0675)
Popovitch Creek|stream|SRID=4269;POINT(-148.83278 63.92)
Porcupine Butte|summit|SRID=4269;POINT(-151.98639 61.93222)
Porcupine Creek|stream|SRID=4269;POINT(-155.89417 57.72278)
Porcupine Creek|stream|SRID=4269;POINT(-142.37167 60.125)
Porcupine Creek|stream|SRID=4269;POINT(-143.79222 61.57861)
Porcupine Creek|stream|SRID=4269;POINT(-157.49056 62.67889)
Porcupine Creek|stream|SRID=4269;POINT(-159.57333 60.75056)
Porcupine Creek|stream|SRID=4269;POINT(-143.87806 62.72028)
Porcupine Creek|stream|SRID=4269;POINT(-142.69 63.38083)
Porcupine Creek|stream|SRID=4269;POINT(-144.85944 64.70278)
Porcupine Creek|stream|SRID=4269;POINT(-145.15556 65.55361)
Porcupine Dome|summit|SRID=4269;POINT(-145.52139 65.51778)
Porcupine Grass Lake|lake|SRID=4269;POINT(-142.46064 63.16686)
Porcupine Island|island|SRID=4269;POINT(-154.12889 59.73306)
Porcupine Lake|lake|SRID=4269;POINT(-146.46499 68.78686)
Porcupine Ridge|ridge|SRID=4269;POINT(-155.8125 63.00333)
Porphyry Creek|stream|SRID=4269;POINT(-142.44361 64.20444)
Porphyry Mountain|summit|SRID=4269;POINT(-142.82806 61.47139)
Port Alsworth|populated place|SRID=4269;POINT(-154.31278 60.2025)
Port Althorp|bay|SRID=4269;POINT(-136.33778 58.15806)
Port Althorp|locale|SRID=4269;POINT(-136.32972 58.13139)
Port Bailey Cannery|locale|SRID=4269;POINT(-153.03917 57.93111)
Port Clarence|bay|SRID=4269;POINT(-166.675 65.24306)
Port Clarence|populated place|SRID=4269;POINT(-166.84583 65.26222)
Port Frederick|bay|SRID=4269;POINT(-135.55611 58.06778)
Port Hobron|bay|SRID=4269;POINT(-153.16417 57.16833)
Port Hobron|populated place|SRID=4269;POINT(-153.15639 57.16056)
Port Lawrence|bay|SRID=4269;POINT(-152.60528 58.49278)
Port Lions|populated place|SRID=4269;POINT(-152.88222 57.8675)
Port Moller|bay|SRID=4269;POINT(-160.4975 55.89056)
Port Moore|bay|SRID=4269;POINT(-156.4475 71.38167)
Port O'Brien|populated place|SRID=4269;POINT(-153.31667 57.73194)
Port Safety|populated place|SRID=4269;POINT(-164.82556 64.45167)
Port Safety Roadhouse|locale|SRID=4269;POINT(-164.76194 64.46611)
Port Snettisham|bay|SRID=4269;POINT(-133.7725 58.00583)
Port Valdez|bay|SRID=4269;POINT(-146.50194 61.10556)
Port Vita|locale|SRID=4269;POINT(-153.0725 58.06556)
Port Wakefield|populated place|SRID=4269;POINT(-153.0525 58.04917)
Port William|populated place|SRID=4269;POINT(-152.58278 58.49222)
Portage Arm|bay|SRID=4269;POINT(-159.11306 59.93111)
Portage Bay|bay|SRID=4269;POINT(-158.58528 56.1875)
Portage Bay|bay|SRID=4269;POINT(-154.61222 60.13)
Portage Bay|bay|SRID=4269;POINT(-153.90167 56.94444)
Portage Bay|bay|SRID=4269;POINT(-152.61722 57.46583)
Portage Bay|bay|SRID=4269;POINT(-155.99583 57.52417)
Portage Creek|stream|SRID=4269;POINT(-155.53667 57.78389)
Portage Creek|stream|SRID=4269;POINT(-154.01444 60.35167)
Portage Creek|stream|SRID=4269;POINT(-150.03944 62.58028)
Portage Creek|stream|SRID=4269;POINT(-147.00806 63.91722)
Portage Creek|stream|SRID=4269;POINT(-144.67528 65.35556)
Portage Creek|stream|SRID=4269;POINT(-144.53778 65.49917)
Portage Creek|stream|SRID=4269;POINT(-164.52917 65.60944)
Portage Creek|stream|SRID=4269;POINT(-156.21167 60.38139)
Portage Creek|stream|SRID=4269;POINT(-157.58417 61.08222)
Portage Creek|stream|SRID=4269;POINT(-165.65472 65.69472)
Portage Creek|stream|SRID=4269;POINT(-157.72333 58.90667)
Portage Creek|stream|SRID=4269;POINT(-152.56056 61.96694)
Portage Creek|stream|SRID=4269;POINT(-149.37833 62.83083)
Portage Creek|stream|SRID=4269;POINT(-142.67667 64.45611)
Portage Lake|lake|SRID=4269;POINT(-152.43254 58.27103)
Portage Lake|lake|SRID=4269;POINT(-146.46889 68.33833)
Portage Lake|lake|SRID=4269;POINT(-153.86496 60.50462)
Portage Mountains|ridge|SRID=4269;POINT(-160.03583 61.71139)
Portage Pass|gap|SRID=4269;POINT(-158.19111 56.56694)
Portage Pass|gap|SRID=4269;POINT(-152.96139 61.97111)
Portage Roadhouse|locale|SRID=4269;POINT(-162.60889 64.47722)
Portage Slough|gut|SRID=4269;POINT(-161.23944 61.71444)
Portal Camp|locale|SRID=4269;POINT(-134.30472 58.27833)
Portalus Valley|valley|SRID=4269;POINT(-145.35917 63.79139)
Portland Creek|stream|SRID=4269;POINT(-163.74 65.05833)
Portland Creek|stream|SRID=4269;POINT(-163.49472 64.82444)
Portland Creek|stream|SRID=4269;POINT(-149.455 67.3)
Portland Island|island|SRID=4269;POINT(-134.73944 58.33639)
Posliedni Point|cape|SRID=4269;POINT(-152.76056 58.05722)
Posliedni Point|cape|SRID=4269;POINT(-152.32278 58.43472)
Poss Mountain|summit|SRID=4269;POINT(-149.72056 67.44111)
Possum Creek|stream|SRID=4269;POINT(-149.88278 62.22583)
Post Creek|stream|SRID=4269;POINT(-164.03444 64.97667)
Post Lake|lake|SRID=4269;POINT(-153.52435 62.14367)
Post River|stream|SRID=4269;POINT(-153.47556 62.41139)
Potato Creek|stream|SRID=4269;POINT(-167.70417 65.71139)
Potato Point|cape|SRID=4269;POINT(-146.69417 61.05667)
Potlatch Creek|stream|SRID=4269;POINT(-147.26472 64.82306)
Potter|locale|SRID=4269;POINT(-149.79417 61.0525)
Potter Creek|stream|SRID=4269;POINT(-149.79278 61.05056)
Potter Pup Creek|stream|SRID=4269;POINT(-166.20972 65.08639)
Pouch Creek|stream|SRID=4269;POINT(-144.08278 61.64222)
Poul Creek|stream|SRID=4269;POINT(-141.99833 60.0225)
Poverty Creek|stream|SRID=4269;POINT(-143.26583 65.04722)
Powell Creek|stream|SRID=4269;POINT(-164.33389 64.8275)
Powell Gulch|valley|SRID=4269;POINT(-144.80306 63.12833)
Powell Peak|summit|SRID=4269;POINT(-146.045 61.72611)
Powerline Pass|gap|SRID=4269;POINT(-149.54528 61.05472)
Powerline Ridge|ridge|SRID=4269;POINT(-134.26528 58.28528)
Powers Creek|stream|SRID=4269;POINT(-160.835 63.93528)
Powooiliak Bay|bay|SRID=4269;POINT(-171.05444 63.40083)
Powooiliak Camp|locale|SRID=4269;POINT(-171.29722 63.35694)
Powooiliak Point|cape|SRID=4269;POINT(-171.28972 63.36167)
Prairie Creek|stream|SRID=4269;POINT(-149.06306 62.59944)
Preacher Creek|stream|SRID=4269;POINT(-144.84167 66.12861)
Premier Creek|stream|SRID=4269;POINT(-149.08944 61.71056)
Premier Mine|mine|SRID=4269;POINT(-149.09833 61.7075)
Presidents Chair|summit|SRID=4269;POINT(-142.74083 61.85861)
Preston Creek|stream|SRID=4269;POINT(-164.84278 65.74222)
Pribilof Islands|island|SRID=4269;POINT(-170.24667 57.4)
Price Creek|stream|SRID=4269;POINT(-167.34611 65.40028)
Price River|stream|SRID=4269;POINT(-154.70722 69.85972)
Priest River|stream|SRID=4269;POINT(-141.72278 59.95167)
Priest Rock|bar|SRID=4269;POINT(-162.79194 64.32611)
Primrose Ridge|ridge|SRID=4269;POINT(-149.37722 63.75194)
Primus Creek|stream|SRID=4269;POINT(-158.87056 68.35778)
Prince of Wales Creek|stream|SRID=4269;POINT(-167.84472 65.67083)
Prince of Wales Shoal|bar|SRID=4269;POINT(-167.94972 65.89833)
Prince Creek|stream|SRID=4269;POINT(-157.90389 62.33333)
Prince Creek|stream|SRID=4269;POINT(-152.41611 69.30972)
Prindle Volcano|summit|SRID=4269;POINT(-141.62972 63.71528)
Mount Prindle|summit|SRID=4269;POINT(-146.47333 65.46167)
Prior Point|cape|SRID=4269;POINT(-154.20194 56.93139)
Problem Creek|stream|SRID=4269;POINT(-164.46417 64.6475)
Procrastination Creek|stream|SRID=4269;POINT(-142.52306 67.71472)
Progressive Creek|stream|SRID=4269;POINT(-145.605 64.19972)
Prokoda Island|island|SRID=4269;POINT(-152.50722 57.91278)
Prospect Creek|stream|SRID=4269;POINT(-133.80472 58.0475)
Prospect Creek|stream|SRID=4269;POINT(-149.04083 62.37667)
Prospect Creek|stream|SRID=4269;POINT(-151.04306 62.58861)
Prospect Creek|stream|SRID=4269;POINT(-144.82194 63.53472)
Prospect Creek|stream|SRID=4269;POINT(-165.06194 64.61222)
Prospect Creek|stream|SRID=4269;POINT(-165.45972 64.63028)
Prospect Creek|stream|SRID=4269;POINT(-150.74 66.79028)
Prospect Creek Camp|locale|SRID=4269;POINT(-150.72444 66.79444)
Prospect Point|cape|SRID=4269;POINT(-133.80028 58.05167)
Prospect Point|cape|SRID=4269;POINT(-157.275 64.80139)
Protection Point|cape|SRID=4269;POINT(-158.69611 58.49278)
Prudhoe Bay|populated place|SRID=4269;POINT(-148.33722 70.25528)
Prudhoe Dock|locale|SRID=4269;POINT(-148.31583 70.31444)
Prudhoe Mound|summit|SRID=4269;POINT(-148.47833 70.27889)
Psalm Lake|lake|SRID=4269;POINT(-149.56351 61.38177)
Ptarmigan|populated place|SRID=4269;POINT(-145.62167 61.18861)
Ptarmigan Creek|stream|SRID=4269;POINT(-145.63472 61.18917)
Ptarmigan Creek|stream|SRID=4269;POINT(-141.02194 61.96361)
Spaulding Point|cape|SRID=4269;POINT(-134.65611 58.38389)
Spaulding Trail|trail|SRID=4269;POINT(-134.6675 58.4125)
Spawning Creek|stream|SRID=4269;POINT(-145.06694 69.36583)
Specimen Creek|stream|SRID=4269;POINT(-146.06639 63.26861)
Specimen Gulch|valley|SRID=4269;POINT(-165.39 64.57806)
Spectacle Lake|lake|SRID=4269;POINT(-154.83123 59.19745)
Spectacle Lake|lake|SRID=4269;POINT(-152.38707 63.58196)
Speedway Creek|stream|SRID=4269;POINT(-152.675 68.5325)
Speel Arm|channel|SRID=4269;POINT(-133.73556 58.10083)
Speel Glacier|glacier|SRID=4269;POINT(-133.45528 58.32278)
Speel Lake (historical)|lake|SRID=4269;POINT(-133.43444 58.34583)
Speel Point|cape|SRID=4269;POINT(-133.70889 58.135)
Speel River|stream|SRID=4269;POINT(-133.71972 58.12917)
Spein Mountain|summit|SRID=4269;POINT(-160.45667 60.60083)
Spenard|populated place|SRID=4269;POINT(-149.90639 61.18861)
Lake Spenard|lake|SRID=4269;POINT(-149.94778 61.17889)
Spence Creek|stream|SRID=4269;POINT(-152.06111 63.90917)
Spencer Peak|summit|SRID=4269;POINT(-134.41472 58.48806)
Sphinx Creek|stream|SRID=4269;POINT(-161.6 59.15583)
Sphinx Mountain|summit|SRID=4269;POINT(-160.86222 68.57306)
Spicer Creek|stream|SRID=4269;POINT(-151.7175 65.20083)
Spider Creek|stream|SRID=4269;POINT(-158.54528 59.63417)
Spier Creek|stream|SRID=4269;POINT(-148.19333 64.88917)
Spike Creek|stream|SRID=4269;POINT(-161.74111 68.69722)
Spike Mountain|summit|SRID=4269;POINT(-141.65917 67.59)
Spinach Creek|stream|SRID=4269;POINT(-148.17028 64.9)
Spink Creek|stream|SRID=4269;POINT(-150.24583 62.72917)
Spink Lake|lake|SRID=4269;POINT(-150.2403 62.78141)
Spiny Ridge|ridge|SRID=4269;POINT(-164.00833 68.265)
Spiridon Bay|bay|SRID=4269;POINT(-153.75361 57.66917)
Spiridon Lake|lake|SRID=4269;POINT(-153.68787 57.71957)
Spirit Lake|lake|SRID=4269;POINT(-152.92071 63.68608)
Spirit Mountain|summit|SRID=4269;POINT(-144.625 61.32639)
Spitz Island|island|SRID=4269;POINT(-158.88806 55.78722)
Split Rock|bar|SRID=4269;POINT(-172.77306 60.36806)
Split Thumb|summit|SRID=4269;POINT(-134.31111 58.40639)
Split Thumb Icefall|glacier|SRID=4269;POINT(-134.27667 58.40917)
Splitrock Point|cape|SRID=4269;POINT(-154.09056 57.105)
Spooky Valley|basin|SRID=4269;POINT(-151.25889 65.71944)
Spoon Creek|stream|SRID=4269;POINT(-158.64417 56.14778)
Spoon Fish Lake|lake|SRID=4269;POINT(-144.92 68.26806)
Spray Creek|stream|SRID=4269;POINT(-146.515 63.27111)
Spring Camp Lake|lake|SRID=4269;POINT(-151.39906 65.01653)
Spring Creek|gut|SRID=4269;POINT(-149.21694 61.54889)
Spring Creek|stream|SRID=4269;POINT(-154.09917 57.44278)
Spring Creek|stream|SRID=4269;POINT(-160.73 63.85583)
Spring Creek|stream|SRID=4269;POINT(-161.26639 65.32778)
Spring Creek|stream|SRID=4269;POINT(-145.24389 62.61611)
Spring Creek|stream|SRID=4269;POINT(-145.96028 68.40056)
Spring Creek|stream|SRID=4269;POINT(-152.06639 61.89361)
Spring Creek|stream|SRID=4269;POINT(-151.53806 67.51694)
Spring Lake|lake|SRID=4269;POINT(-149.819 61.28358)
Springway Creek|stream|SRID=4269;POINT(-155.69972 60.47139)
Sprotsman Lodge|locale|SRID=4269;POINT(-145.50917 62.95833)
Spruce Cape|cape|SRID=4269;POINT(-152.33194 57.82028)
Spruce Creek|stream|SRID=4269;POINT(-159.80028 61.04472)
Spruce Creek|stream|SRID=4269;POINT(-150.66611 63.52861)
Spruce Creek|stream|SRID=4269;POINT(-160.89222 63.66861)
Spruce Creek|stream|SRID=4269;POINT(-148.82389 64.10639)
Spruce Creek|stream|SRID=4269;POINT(-155.41417 64.16917)
Spruce Creek|stream|SRID=4269;POINT(-163.75167 64.67444)
Spruce Creek|stream|SRID=4269;POINT(-164.21806 64.88472)
Spruce Creek|stream|SRID=4269;POINT(-147.58028 65.08139)
Spruce Creek|stream|SRID=4269;POINT(-150.12167 65.37528)
Spruce Creek|stream|SRID=4269;POINT(-152.62667 65.3975)
Spruce Creek|stream|SRID=4269;POINT(-151.02722 62.42278)
Spruce Creek|stream|SRID=4269;POINT(-162.01222 61.79861)
Spruce Creek|stream|SRID=4269;POINT(-156.4725 63.12806)
Spruce Creek|stream|SRID=4269;POINT(-166.54056 64.97)
Spruce Island|island|SRID=4269;POINT(-152.40972 57.91806)
Spruce Lake|lake|SRID=4269;POINT(-150.02739 62.20971)
Spruce Lake|lake|SRID=4269;POINT(-153.40449 63.54396)
Spruce Peak|summit|SRID=4269;POINT(-150.70278 63.5825)
Spruce Point|cape|SRID=4269;POINT(-142.58611 61.41611)
Sprucefish Lake|lake|SRID=4269;POINT(-152.71753 63.56649)
Spuhn Island|island|SRID=4269;POINT(-134.65778 58.33639)
Spuhn Point|cape|SRID=4269;POINT(-134.66444 58.33111)
Spur Glacier|glacier|SRID=4269;POINT(-145.16472 63.45278)
Spy Islands|island|SRID=4269;POINT(-149.84972 70.56389)
Spygalls Hill|summit|SRID=4269;POINT(-151.48972 63.13833)
Square Lake|lake|SRID=4269;POINT(-147.4682 62.40099)
Square Lake|lake|SRID=4269;POINT(-151.21974 64.18658)
Square Lake|lake|SRID=4269;POINT(-145.01 67.36333)
Square Lake|lake|SRID=4269;POINT(-150.81086 69.42671)
Square Lake|lake|SRID=4269;POINT(-153.24916 69.58477)
Square Lake Test Well|well|SRID=4269;POINT(-153.28111 69.55583)
Square Rock|bar|SRID=4269;POINT(-163.61278 64.56333)
Squaw Creek|stream|SRID=4269;POINT(-157.03722 58.935)
Squaw Creek|stream|SRID=4269;POINT(-158.51361 59.03306)
Squaw Creek|stream|SRID=4269;POINT(-145.27083 61.36611)
Squaw Creek|stream|SRID=4269;POINT(-143.87194 61.55167)
Squaw Creek|stream|SRID=4269;POINT(-152.66583 62.06917)
Squaw Creek|stream|SRID=4269;POINT(-144.89806 65.37444)
Squaw Creek|stream|SRID=4269;POINT(-146.75833 65.83417)
Squaw Creek|stream|SRID=4269;POINT(-150.91056 66.91861)
Squaw Creek|stream|SRID=4269;POINT(-148.21 67.59778)
Squaw Creek|stream|SRID=4269;POINT(-147.59556 61.87278)
Squaw Creek|stream|SRID=4269;POINT(-150.15861 65.5175)
Tsaani Creek|stream|SRID=4269;POINT(-149.29347 63.23227)
Squaw Crossing|channel|SRID=4269;POINT(-151.78194 65.095)
Squaw Crossing Slough|stream|SRID=4269;POINT(-151.76917 65.14667)
Squaw Gulch|valley|SRID=4269;POINT(-141.13694 64.16417)
Squaw Island|island|SRID=4269;POINT(-142.60694 61.45028)
Squaw Lake|lake|SRID=4269;POINT(-147.40472 61.89028)
Squaw Lake|lake|SRID=4269;POINT(-148.21073 67.60891)
Squaw Mountain|summit|SRID=4269;POINT(-141.00778 65.05861)
Squaw Pants Crossing|locale|SRID=4269;POINT(-149.07222 64.43667)
Squaw Point|cape|SRID=4269;POINT(-151.74444 65.10556)
Squaw Rapids|rapids|SRID=4269;POINT(-150.712 67.32289)
Squirrel Creek|stream|SRID=4269;POINT(-161.72972 58.92389)
Squirrel Creek|stream|SRID=4269;POINT(-145.165 61.66694)
Squirrel Creek|stream|SRID=4269;POINT(-151.53167 62.35722)
